geoid,County,pop2015_5yr,deer2015,deerratio,cattle2012,cattleratio
55001,Adams ,20451,28100,1.370000005,9527,0.469999999
55003,Ashland ,15993,7700,0.479999989,7522,0.469999999
55005,Barron ,45686,21700,0.469999999,61396,1.340000033
55007,Bayfield ,15050,21200,1.409999967,7730,0.50999999
55009,Brown ,254717,12700,0.050000001,122885,0.479999989
55011,Buffalo ,13319,35000,2.630000114,64622,4.849999905
55013,Burnett ,15334,24100,1.570000052,11707,0.75999999
55015,Calumet ,49678,5800,0.119999997,71336,1.440000057
55017,Chippewa ,63209,20500,0.319999993,72757,1.149999976
55019,Clark ,34518,34300,0.99000001,158758,4.599999905
55021,Columbia ,56607,30000,0.529999971,52560,0.930000007
55023,Crawford ,16483,25800,1.570000052,32307,1.960000038
55025,Dane ,510198,22600,0.039999999,134545,0.25999999
55027,Dodge ,88547,19400,0.219999999,104756,1.179999948
55029,Door ,27731,23000,0.829999983,23852,0.860000014
55031,Douglas ,43799,25800,0.589999974,6905,0.159999996
55033,Dunn ,44159,28800,0.649999976,62995,1.429999948
55035,Eau Claire ,101281,9900,0.100000001,31613,0.310000002
55037,Florence ,4476,8600,1.919999957,794,0.180000007
55039,Fond du Lac ,101920,20100,0.200000003,123892,1.220000029
55041,Forest ,9150,8700,0.949999988,2018,0.219999999
55043,Grant ,51489,31200,0.610000014,173249,3.359999895
55045,Green ,37044,12300,0.330000013,73597,1.99000001
55047,Green Lake ,18966,21300,1.120000005,23461,1.24000001
55049,Iowa ,23769,27700,1.169999957,91219,3.839999914
55051,Iron ,5907,3000,0.50999999,1887,0.319999993
55053,Jackson ,20543,31700,1.539999962,43987,2.140000105
55055,Jefferson ,84345,10900,0.129999995,40189,0.479999989
55057,Juneau ,26494,23200,0.879999995,24388,0.920000017
55059,Kenosha ,167738,2600,0.02,11389,0.07
55061,Kewaunee ,20483,16900,0.829999983,97084,4.739999771
55063,La Crosse ,117048,15700,0.129999995,26772,0.230000004
55065,Lafayette ,16835,12900,0.769999981,108943,6.46999979
55067,Langlade ,19551,14900,0.75999999,20092,1.029999971
55069,Lincoln ,28286,18100,0.639999986,12241,0.430000007
55071,Manitowoc ,80521,18800,0.230000004,113863,1.409999967
55073,Marathon ,135177,50400,0.370000005,144159,1.070000052
55075,Marinette ,41287,40300,0.980000019,38699,0.939999998
55077,Marquette ,15140,29600,1.960000038,14569,0.959999979
55078,Menominee ,4451,,,,
55079,Milwaukee ,955939,1200,0,0,0
55081,Monroe ,45274,28200,0.620000005,68908,1.519999981
55083,Oconto ,37476,32700,0.870000005,54555,1.460000038
55085,Oneida ,35653,22100,0.620000005,602,0.02
55087,Outagamie ,180430,23300,0.129999995,99409,0.550000012
55089,Ozaukee ,87273,5500,0.059999999,18473,0.209999993
55091,Pepin ,7372,10300,1.399999976,28358,3.849999905
55093,Pierce ,40799,16300,0.400000006,47188,1.159999967
55095,Polk ,43572,31400,0.720000029,42815,0.980000019
55097,Portage ,70432,26600,0.379999995,49728,0.709999979
55099,Price ,13800,21100,1.529999971,15261,1.110000014
55101,Racine ,194895,3800,0.02,9109,0.050000001
55103,Richland ,17746,37400,2.109999895,43861,2.470000029
55105,Rock ,160727,9300,0.059999999,45897,0.289999992
55107,Rusk ,14357,23000,1.600000024,29024,2.019999981
55109,St. Croix ,86118,14900,0.170000002,49753,0.579999983
55111,Sauk ,62992,38300,0.610000014,80663,1.279999971
55113,Sawyer ,16483,17500,1.059999943,7014,0.430000007
55115,Shawano ,41563,56400,1.360000014,86817,2.089999914
55117,Sheboygan ,115226,11600,0.100000001,69579,0.600000024
55119,Taylor ,20569,27900,1.360000014,50558,2.460000038
55121,Trempealeau ,29412,33400,1.139999986,60944,2.069999933
55123,Vernon ,30279,35800,1.179999948,69864,2.309999943
55125,Vilas ,21355,14600,0.680000007,105,0
55127,Walworth ,103039,6700,0.07,38033,0.370000005
55129,Washburn ,15700,22900,1.460000038,8430,0.540000021
55131,Washington ,132921,11700,0.090000004,42357,0.319999993
55133,Waukesha ,393873,12900,0.029999999,8622,0.02
55135,Waupaca ,52125,54400,1.039999962,56073,1.080000043
55137,Waushara ,24321,27400,1.129999995,12315,0.50999999
55139,Winnebago ,169004,10300,0.059999999,35196,0.209999993
55141,Wood ,74012,23900,0.319999993,43207,0.579999983
